Participant	Technique	Distance	Taille	Densité	Direction	Block	Trial	Timestamp	EventType	XMousePosition	YMousePosition	XTargetPosition	YTargetPosition
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550089458	Start	240	7	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090080	MouseMove	366	35	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090092	MouseMove	365	36	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090104	MouseMove	361	42	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090120	MouseMove	356	53	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090136	MouseMove	355	77	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090153	MouseMove	357	89	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090169	MouseMove	362	119	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090186	MouseMove	362	127	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090203	MouseMove	363	156	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090220	MouseMove	365	174	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090238	MouseMove	367	201	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090254	MouseMove	369	211	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090271	MouseMove	371	220	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090287	MouseMove	371	221	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090308	MouseMove	371	221	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090329	MouseMove	371	222	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090339	MouseMove	371	224	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090354	MouseMove	371	229	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090371	MouseMove	371	246	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090390	MouseMove	368	301	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090410	MouseMove	365	335	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090425	MouseMove	359	365	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090439	MouseMove	355	381	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090453	MouseMove	354	396	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090478	MouseMove	354	397	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090507	MouseMove	355	399	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090571	MouseMove	356	399	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090587	MouseMove	357	402	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090605	MouseMove	358	407	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090655	MouseMove	357	413	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090660	MouseOver	357	413	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090670	MouseMove	347	438	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090677	MouseOut	347	438	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090680	MouseMove	342	443	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090738	MouseMove	342	443	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090759	MouseMove	342	443	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090772	MouseMove	341	443	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090927	MouseDown	341	443	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090966	MouseUp	341	443	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550090967	Click	341	443	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091474	MouseMove	341	442	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091487	MouseOver	341	442	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091488	MouseMove	341	441	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091504	MouseMove	341	440	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091519	MouseMove	341	437	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091536	MouseMove	341	436	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091554	MouseMove	340	433	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091570	MouseMove	340	432	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091714	MouseDown	340	432	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091789	MouseUp	340	432	333.5	420.5
P1	PointCursor	80	8	6.64	Gauche	0	0	1577550091789	Click	340	432	333.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550091790	MouseOut	340	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550091790	NextTrial	340	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092038	MouseMove	342	431	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092053	MouseMove	346	431	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092071	MouseMove	389	429	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092086	MouseMove	432	429	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092103	MouseMove	465	429	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092120	MouseMove	592	428	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092137	MouseMove	665	428	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092154	MouseMove	779	429	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092173	MouseMove	877	431	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092188	MouseMove	904	431	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092203	MouseMove	915	431	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092220	MouseMove	921	431	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092432	MouseMove	922	431	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092453	MouseMove	934	433	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092470	MouseMove	940	433	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092487	MouseMove	961	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092503	MouseMove	979	430	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092520	MouseMove	1008	430	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092537	MouseMove	1020	430	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092554	MouseMove	1051	434	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092570	MouseMove	1060	435	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092587	MouseMove	1065	436	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092603	MouseMove	1071	435	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092620	MouseMove	1073	435	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092637	MouseMove	1077	435	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092656	MouseMove	1086	436	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092670	MouseMove	1092	437	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092687	MouseMove	1096	437	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092703	MouseMove	1104	436	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092723	MouseOver	1104	436	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092726	MouseMove	1115	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092738	MouseMove	1117	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092757	MouseMove	1119	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092770	MouseMove	1121	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092786	MouseMove	1122	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092838	MouseMove	1122	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092857	MouseMove	1121	432	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092915	MouseMove	1121	431	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092936	MouseMove	1121	430	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092953	MouseMove	1120	428	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092970	MouseMove	1120	428	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550092999	MouseDown	1120	428	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550093033	MouseMove	1120	427	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550093059	MouseUp	1120	427	1133.5	420.5
P1	PointCursor	160	8	6.64	Droite	0	1	1577550093059	Click	1120	427	1133.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093059	MouseOut	1120	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093059	NextTrial	1120	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093071	MouseMove	1120	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093201	MouseMove	1118	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093222	MouseMove	1114	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093243	MouseMove	1098	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093279	MouseMove	991	435	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093307	MouseMove	877	439	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093320	MouseMove	723	435	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093337	MouseMove	641	431	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093353	MouseMove	585	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093371	MouseMove	568	426	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093389	MouseMove	563	426	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093408	MouseMove	563	429	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093428	MouseMove	563	430	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093437	MouseMove	561	431	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093453	MouseMove	555	430	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093473	MouseMove	549	430	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093491	MouseMove	529	430	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093532	MouseMove	521	430	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093591	MouseMove	305	438	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093603	MouseMove	257	435	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093620	MouseMove	257	435	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093639	MouseMove	260	433	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093660	MouseMove	261	432	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093699	MouseMove	262	431	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093735	MouseMove	262	429	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093758	MouseMove	262	429	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093772	MouseMove	260	429	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093792	MouseMove	256	429	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093810	MouseMove	247	429	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093842	MouseMove	245	428	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093863	MouseMove	245	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093889	MouseMove	247	427	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093907	MouseMove	250	426	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093927	MouseMove	260	422	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093946	MouseMove	271	419	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093962	MouseMove	276	418	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093974	MouseMove	287	417	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550093989	MouseMove	299	417	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094010	MouseMove	302	417	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094023	MouseOver	302	417	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094028	MouseMove	330	420	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094044	MouseMove	336	421	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094062	MouseMove	345	421	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094078	MouseMove	351	421	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094110	MouseMove	354	420	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094115	MouseOut	354	420	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094117	MouseMove	359	419	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094121	MouseMove	361	417	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094144	MouseMove	363	417	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094160	MouseMove	364	416	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094287	MouseDown	364	416	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094331	MouseMove	365	416	333.5	420.5
P1	PointCursor	160	8	6.64	Gauche	0	2	1577550094332	MouseUp	365	416	333.5	420.5
