Participant	Technique	Distance	Taille	Densité	Direction	Block	Trial	TimeSinceTrialBeginning	distanceBetweenTargetAndClick	ClickOnTarget
P3	PointCursor	80	8	6.64	Droite	0	0	2971	2.420743687382041	true
P3	PointCursor	160	8	6.64	Gauche	0	1	180	161.5111760838859	false
P3	PointCursor	160	8	6.64	Gauche	0	1	2554	0.5830951894845301	true
P3	PointCursor	160	8	6.64	Droite	0	2	1888	1.5811388300841898	true
P3	PointCursor	160	8	6.64	Gauche	0	3	2071	3.4785054261852175	true
P3	PointCursor	160	8	6.64	Droite	0	4	1687	2.701851217221259	true
P3	BubbleCursor	160	8	6.64	Gauche	1	0	1957	1.7029386365926404	true
P3	BubbleCursor	160	8	6.64	Droite	1	1	1563	32.41388591329339	true
P3	BubbleCursor	160	8	6.64	Gauche	1	2	1305	14.549914089093448	true
P3	BubbleCursor	160	8	6.64	Droite	1	3	1439	33.4044907160699	true
P3	BubbleCursor	160	8	6.64	Gauche	1	4	1147	11.61808934377766	true
P3	PointCursor	160	8	2.82	Droite	2	0	1607	1.104536101718726	true
P3	PointCursor	160	8	2.82	Gauche	2	1	1790	2.9017236257093817	true
P3	PointCursor	160	8	2.82	Droite	2	2	1518	2.5495097567963927	true
P3	PointCursor	160	8	2.82	Gauche	2	3	1080	3.8910152916687437	true
P3	PointCursor	160	8	2.82	Droite	2	4	1620	1.6552945357246849	true
P3	BubbleCursor	160	8	2.82	Gauche	3	0	2024	2.9017236257093817	true
P3	BubbleCursor	160	8	2.82	Droite	3	1	2846	2.5495097567963927	true
P3	BubbleCursor	160	8	2.82	Gauche	3	2	1373	9.88837701546619	true
P3	BubbleCursor	160	8	2.82	Droite	3	3	1283	9.454099639838793	true
P3	BubbleCursor	160	8	2.82	Gauche	3	4	1202	10.815729286552989	true
P3	PointCursor	160	8	1.54	Droite	4	0	2319	2.4041630560342617	true
P3	PointCursor	160	8	1.54	Gauche	4	1	1609	0.316227766016838	true
P3	PointCursor	160	8	1.54	Droite	4	2	1598	3.54682957019364	true
P3	PointCursor	160	8	1.54	Gauche	4	3	1237	0.14142135623730953	true
P3	PointCursor	160	8	1.54	Droite	4	4	1338	1.8384776310850235	true
P3	BubbleCursor	160	8	1.54	Gauche	5	0	945	0.8602325267042628	true
P3	BubbleCursor	160	8	1.54	Droite	5	1	1541	1.392838827718412	true
P3	BubbleCursor	160	8	1.54	Gauche	5	2	1305	3.7013511046643495	true
P3	BubbleCursor	160	8	1.54	Droite	5	3	1463	4.178516483155236	true
P3	BubbleCursor	160	8	1.54	Gauche	5	4	1642	4.263801121065568	true
P3	PointCursor	160	8	0.91	Droite	6	0	1428	1.7029386365926404	true
P3	PointCursor	160	8	0.91	Gauche	6	1	1484	0.7615773105863909	true
P3	PointCursor	160	8	0.91	Droite	6	2	1405	1.392838827718412	true
P3	PointCursor	160	8	0.91	Gauche	6	3	1237	0.5099019513592785	true
P3	PointCursor	160	8	0.91	Droite	6	4	1326	1.30384048104053	true
P3	BubbleCursor	160	8	0.91	Gauche	7	0	1419	1.5297058540778357	true
P3	BubbleCursor	160	8	0.91	Droite	7	1	1338	0.9899494936611666	true
P3	BubbleCursor	160	8	0.91	Gauche	7	2	1383	3.5355339059327378	true
P3	BubbleCursor	160	8	0.91	Droite	7	3	1992	0.9899494936611666	true
P3	BubbleCursor	160	8	0.91	Gauche	7	4	1857	1.2083045973594573	true
P3	PointCursor	160	8	0.52	Droite	8	0	1575	3.1400636936215167	true
P3	PointCursor	160	8	0.52	Gauche	8	1	1202	1.30384048104053	true
P3	PointCursor	160	8	0.52	Droite	8	2	1373	0.5099019513592785	true
P3	PointCursor	160	8	0.52	Gauche	8	3	1395	1.96468827043885	true
P3	PointCursor	160	8	0.52	Droite	8	4	2138	2.6419689627245813	true
P3	BubbleCursor	160	8	0.52	Gauche	9	0	1328	2.9154759474226504	true
P3	BubbleCursor	160	8	0.52	Droite	9	1	1001	4.25440947723653	true
P3	BubbleCursor	160	8	0.52	Gauche	9	2	1384	1.8601075237738276	true
P3	BubbleCursor	160	8	0.52	Droite	9	3	1553	3.56931365951495	true
P3	BubbleCursor	160	8	0.52	Gauche	9	4	1091	2.9017236257093817	true
