Participant	Technique	Distance	Taille	Densité	Direction	Block	Trial

P1	PointCursor	80	8	6.64	Gauche	0	0
P1	PointCursor	160	8	6.64	Droite	0	1
P1	PointCursor	160	8	6.64	Gauche	0	2
P1	PointCursor	160	8	6.64	Droite	0	3
P1	PointCursor	160	8	6.64	Gauche	0	4

P1	PointCursor	160	8	2.82	Droite	1	0
P1	PointCursor	160	8	2.82	Gauche	1	1
P1	PointCursor	160	8	2.82	Droite	1	2
P1	PointCursor	160	8	2.82	Gauche	1	3
P1	PointCursor	160	8	2.82	Droite	1	4

P1	PointCursor	160	8	1.54	Gauche	2	0
P1	PointCursor	160	8	1.54	Droite	2	1
P1	PointCursor	160	8	1.54	Gauche	2	2
P1	PointCursor	160	8	1.54	Droite	2	3
P1	PointCursor	160	8	1.54	Gauche	2	4

P1	PointCursor	160	8	0.91	Droite	3	0
P1	PointCursor	160	8	0.91	Gauche	3	1
P1	PointCursor	160	8	0.91	Droite	3	2
P1	PointCursor	160	8	0.91	Gauche	3	3
P1	PointCursor	160	8	0.91	Droite	3	4

P1	PointCursor	160	8	0.52	Gauche	4	0
P1	PointCursor	160	8	0.52	Droite	4	1
P1	PointCursor	160	8	0.52	Gauche	4	2
P1	PointCursor	160	8	0.52	Droite	4	3
P1	PointCursor	160	8	0.52	Gauche	4	4

P1	BubbleCursor	160	8	6.64	Droite	5	0
P1	BubbleCursor	160	8	6.64	Gauche	5	1
P1	BubbleCursor	160	8	6.64	Droite	5	2
P1	BubbleCursor	160	8	6.64	Gauche	5	3
P1	BubbleCursor	160	8	6.64	Droite	5	4

P1	BubbleCursor	160	8	2.82	Gauche	6	0
P1	BubbleCursor	160	8	2.82	Droite	6	1
P1	BubbleCursor	160	8	2.82	Gauche	6	2
P1	BubbleCursor	160	8	2.82	Droite	6	3
P1	BubbleCursor	160	8	2.82	Gauche	6	4

P1	BubbleCursor	160	8	1.54	Droite	7	0
P1	BubbleCursor	160	8	1.54	Gauche	7	1
P1	BubbleCursor	160	8	1.54	Droite	7	2
P1	BubbleCursor	160	8	1.54	Gauche	7	3
P1	BubbleCursor	160	8	1.54	Droite	7	4

P1	BubbleCursor	160	8	0.91	Gauche	8	0
P1	BubbleCursor	160	8	0.91	Droite	8	1
P1	BubbleCursor	160	8	0.91	Gauche	8	2
P1	BubbleCursor	160	8	0.91	Droite	8	3
P1	BubbleCursor	160	8	0.91	Gauche	8	4

P1	BubbleCursor	160	8	0.52	Droite	9	0
P1	BubbleCursor	160	8	0.52	Gauche	9	1
P1	BubbleCursor	160	8	0.52	Droite	9	2
P1	BubbleCursor	160	8	0.52	Gauche	9	3
P1	BubbleCursor	160	8	0.52	Droite	9	4



P2	BubbleCursor	80	8	6.64	Droite	0	0
P2	BubbleCursor	160	8	6.64	Gauche	0	1
P2	BubbleCursor	160	8	6.64	Droite	0	2
P2	BubbleCursor	160	8	6.64	Gauche	0	3
P2	BubbleCursor	160	8	6.64	Droite	0	4

P2	BubbleCursor	160	8	2.82	Gauche	1	0
P2	BubbleCursor	160	8	2.82	Droite	1	1
P2	BubbleCursor	160	8	2.82	Gauche	1	2
P2	BubbleCursor	160	8	2.82	Droite	1	3
P2	BubbleCursor	160	8	2.82	Gauche	1	4

P2	BubbleCursor	160	8	1.54	Droite	2	0
P2	BubbleCursor	160	8	1.54	Gauche	2	1
P2	BubbleCursor	160	8	1.54	Droite	2	2
